cod_rgi,ano,Expectativa de anos de estudo aos 18 anos de idade,IDHM,IDHM Educação,IDHM Longevidade,IDHM Renda,Razão de dependência,Renda per capita,Taxa de envelhecimento,Taxa de fecundidade total,Índice de Gini,razao_infantil,razao_idosos,poupanca_deflacionada_per_capta
110001,1991,7.3,0.40280000000000005,0.1898,0.5976,0.5898,81.638,330.182,2.4219999999999997,4.036,0.612,0.28125659688000576,0.024202954622738894,6.369563249899547e-09
110001,2000,7.1,0.5176000000000001,0.324,0.6928,0.6302,66.994,418.16999999999996,3.08,3.308,0.608,0.24633462972416242,0.030897296775600613,18.026976798775003
110001,2010,8.442,0.6486,0.5162,0.7962,0.6662,53.562,535.242,4.156000000000001,2.6759999999999997,0.512,0.20473028324817139,0.04207232424776136,290.912611418852
110002,1991,6.0475,0.296,0.09087500000000001,0.61525,0.486625,73.27,173.4925,1.55625,4.2375,0.51375,0.26719109418276965,0.015757081114044294,9.174735618956281e-09
110002,2000,6.18625,0.4505,0.21225,0.69575,0.6285000000000001,62.42625,409.81374999999997,2.7175000000000002,3.13125,0.63,0.23539559759688933,0.02718553349960321,25.14270108897092
110002,2010,8.635,0.6305,0.48150000000000004,0.78725,0.66325,52.6075,501.735,4.6525,2.625,0.54625,0.19648601450362874,0.046521976706497076,275.8076873394572
110003,1991,5.2925,0.258,0.06425,0.60875,0.46775,78.7075,152.5925,2.0325,4.24,0.6575,0.2772629363263039,0.020374572382916407,3.425810332948014e-09
110003,2000,6.5525,0.42625,0.19575,0.6777500000000001,0.601,63.755,346.7825,2.98,3.1875,0.575,0.23841309478302047,0.029847316964062343,14.875110069170905
110003,2010,8.74,0.6144999999999999,0.469,0.775,0.6405000000000001,50.8525,437.03,5.5375,2.375,0.5449999999999999,0.1863320230016355,0.05554613948008018,311.4639155201258
110004,1991,6.214166666666667,0.29841666666666666,0.09625,0.6314166666666666,0.49025,79.70083333333334,178.81833333333336,2.1366666666666667,3.783333333333333,0.59,0.27752208523879945,0.021378289238819185,3.939529199398708e-09
110004,2000,6.989166666666667,0.46058333333333334,0.24041666666666664,0.6854166666666667,0.6031666666666666,64.03833333333334,351.29999999999995,3.3658333333333332,2.9258333333333333,0.5650000000000001,0.2348502045946191,0.03368851951065033,26.19027558283436
110004,2010,9.3425,0.63625,0.50375,0.78425,0.6535833333333333,50.020833333333336,477.2891666666667,5.5375000000000005,2.3033333333333332,0.5391666666666667,0.18547889898592448,0.05550113693224363,309.2709531167611
110005,1991,6.797777777777778,0.2886666666666666,0.09000000000000001,0.6192222222222222,0.4897777777777778,74.49555555555555,190.65444444444447,2.191111111111111,4.028888888888889,0.5833333333333334,0.27054847550742367,0.022009570110763675,4.323742167703878e-09
110005,2000,7.2588888888888885,0.48433333333333334,0.2763333333333333,0.7025555555555556,0.598,61.74333333333334,349.0444444444445,3.573333333333333,3.002222222222222,0.5877777777777777,0.22747725943870004,0.035750723089958254,22.30257369372305
110005,2010,9.38888888888889,0.6564444444444444,0.5403333333333333,0.7984444444444444,0.6574444444444444,48.404444444444444,500.9244444444444,5.747777777777778,2.378888888888889,0.53,0.1802369958828533,0.05751253328285227,294.03506752073486
110006,1991,7.252857142857144,0.3332857142857143,0.127,0.6334285714285715,0.5047142857142858,74.79285714285713,213.23142857142855,2.1557142857142857,3.6757142857142857,0.5928571428571429,0.26573247093134106,0.021649815509897117,4.3822734853694475e-09
110006,2000,8.528571428571428,0.5141428571428571,0.3244285714285714,0.6988571428571427,0.6107142857142858,61.87714285714286,378.8757142857143,3.608571428571428,2.932857142857143,0.5642857142857143,0.22678427246405505,0.03612778298238921,28.322051966982627
110006,2010,10.018571428571429,0.6697142857142857,0.5622857142857143,0.7982857142857143,0.6712857142857143,48.25428571428571,531.1314285714286,5.654285714285714,2.31,0.49142857142857144,0.18150322820524797,0.056714938950604664,347.1584850544747
120001,1991,5.567142857142857,0.2942857142857143,0.08885714285714286,0.651,0.5237142857142857,88.35000000000001,222.89000000000001,2.894285714285714,4.99,0.5428571428571428,0.2897360293654985,0.029091721008151154,1.2023778350715065e-08
120001,2000,6.715714285714285,0.466,0.25757142857142856,0.7094285714285714,0.5678571428571428,75.70428571428572,287.02285714285716,3.584285714285714,3.698571428571429,0.5800000000000001,0.26187189652260756,0.03596534200434521,17.111485705275584
120001,2010,8.427142857142856,0.619,0.48742857142857143,0.7878571428571429,0.6217142857142858,63.042857142857144,403.06857142857143,4.821428571428571,3.077142857142857,0.5671428571428572,0.22440238251911723,0.04831540435709774,211.36657963805027
120002,1991,6.7775,0.3425,0.1245,0.63925,0.508,89.045,190.135,3.1275,4.54,0.5425,0.2896140486274627,0.03142536856495386,5.806519100473799e-09
120002,2000,6.78,0.45499999999999996,0.24475,0.704,0.5489999999999999,77.64750000000001,245.9525,4.3825,3.15,0.5825,0.25982718062796756,0.04401581892049811,16.996625379415743
120002,2010,7.7524999999999995,0.6134999999999999,0.4855,0.771,0.618,62.3225,379.3675,5.015,2.7424999999999997,0.5925,0.22220323422063581,0.05044249533042279,194.6703095617681
120003,1991,4.423333333333333,0.23399999999999999,0.05299999999999999,0.6443333333333333,0.428,104.57666666666667,119.23,2.32,4.75,0.54,0.3104520192143591,0.023685944696629362,9.309379471660022e-09
120003,2000,5.246666666666667,0.37433333333333335,0.16666666666666666,0.7056666666666667,0.46366666666666667,103.22666666666667,157.44666666666666,3.4066666666666663,4.53,0.6133333333333333,0.30981979500383944,0.034256038935396076,14.43805559478246
